radio;area;cellid;signal;time;mnc
LTE;4210;37980449;-82;1,69606E+12;91
LTE;4210;37980449;-82;1,69606E+12;91
LTE;4210;37980449;-83;1,69606E+12;91
LTE;4210;37980449;-85;1,69607E+12;91
LTE;4210;37980449;-85;1,69607E+12;91
LTE;4210;37980449;-87;1,69607E+12;91
LTE;4210;37980449;-87;1,69607E+12;91
LTE;4210;37980449;-87;1,69607E+12;91
LTE;4210;37980449;-86;1,69607E+12;91
LTE;4210;37980449;-86;1,69607E+12;91
LTE;4210;37980449;-88;1,69607E+12;91
LTE;4210;37980449;-93;1,69607E+12;91
LTE;4210;37980449;-93;1,69607E+12;91
LTE;4210;37980449;-93;1,69607E+12;91
LTE;4210;37980449;-94;1,69607E+12;91
LTE;4210;37980449;-94;1,69607E+12;91
LTE;4210;37980429;-97;1,69607E+12;91
LTE;4210;37980429;-97;1,69607E+12;91
LTE;4210;37980429;-97;1,69607E+12;91
LTE;4210;37980429;-105;1,69607E+12;91
LTE;4210;37974039;-106;1,69607E+12;91
LTE;4210;37974039;-98;1,69607E+12;91
LTE;4210;37974039;-95;1,69607E+12;91
LTE;4210;37974039;-96;1,69607E+12;91
LTE;4210;37974039;-102;1,69607E+12;91
LTE;4210;37974029;-106;1,69607E+12;91
LTE;4210;37974029;-106;1,69607E+12;91
LTE;4210;37974029;-109;1,69607E+12;91
LTE;4210;37974029;-103;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37974049;-90;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973791;-86;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37973261;-94;1,69607E+12;91
LTE;4210;37972747;-94;1,69607E+12;91
LTE;4210;37972747;-94;1,69607E+12;91
LTE;4210;37972747;-96;1,69607E+12;91
LTE;4210;37972747;-96;1,69607E+12;91
LTE;4210;37972747;-95;1,69607E+12;91
LTE;4210;37972747;-92;1,69607E+12;91
LTE;4210;37972747;-93;1,69607E+12;91
LTE;4210;37972747;-97;1,69607E+12;91
LTE;4210;37972777;-100;1,69607E+12;91
LTE;4210;37972777;-96;1,69607E+12;91
LTE;4210;37972777;-95;1,69607E+12;91
LTE;4210;37972777;-93;1,69607E+12;91
LTE;4230;36029727;-94;1,69607E+12;91
LTE;4230;36029727;-93;1,69607E+12;91
LTE;4230;36029727;-93;1,69607E+12;91
LTE;4230;36029727;-99;1,69607E+12;91
LTE;4230;36029727;-105;1,69607E+12;91
LTE;4230;36029727;-108;1,69607E+12;91
LTE;4230;36029707;-109;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
LTE;4230;36029707;-106;1,69607E+12;91
